time,distance_permin_pernumber,shrimp_number
  2016-09-09 00:00:16,15.88,18.28
  2016-09-11 00:00:15,18.12,25.25
  2016-09-12 00:00:15,12.81,16.96
  2016-09-13 00:00:15,9.24,12.08
  2016-09-14 00:00:15,14.83,16.76
  2016-09-15 23:59:59,13.64,14.97
  2016-09-16 23:59:58,12.87,22.25
  2016-09-17 23:59:55,20.44,27.43
  2016-09-18 23:59:57,21.12,16.28
  2016-09-19 23:59:54,10.38,12.16
  2016-09-21 23:59:52,10.24,16.05
  2016-09-22 23:59:53,15.25,17.66
  2016-09-23 23:59:51,13.96,17.06
  2016-09-24 23:59:50,13.01,17.39
  2016-09-25 23:59:49,12.51,15.62
  2016-09-26 23:59:48,15.11,22.82
  2016-09-27 23:59:48,15.23,12.44
  2016-09-28 23:59:48,14.56,19.65
  2016-09-29 23:59:44,17.94,17.61
  2016-10-01 23:59:44,14.52,14.24
  2016-10-02 23:59:44,14.15,15.33
  2016-10-03 23:59:42,15.91,12.55
  2016-10-04 23:59:40,8.65,14.04
  2016-10-05 23:59:41,12.42,14.27
  2016-10-06 23:59:38,11.01,14.33
  2016-10-07 23:59:37,11.02,15.12
  2016-10-08 23:59:39,9.04,13.67
  2016-10-09 23:59:36,11.99,16.75
  2016-10-11 23:59:35,13.76,19.06
  2016-10-12 23:59:33,15.08,24.23
  2016-10-13 23:59:33,17.8,20.13
  2016-10-14 23:59:29,11.04,12.53
  2016-10-15 23:59:30,14.72,18.34
  2016-10-16 23:59:30,14.4,20.46
  2016-10-17 23:59:27,20.94,20.42
  2016-10-18 23:59:24,10.75,17.72
  2016-10-19 23:59:26,8.62,14.18
  2016-10-21 23:59:24,11.22,17.4
  2016-10-22 23:59:23,11.92,13.02
  2016-10-23 23:59:22,9.51,17.21
  2016-10-24 23:59:22,13.96,21.81
  2016-10-25 23:59:19,12.21,10.94
  2016-10-26 23:59:18,8.58,14.56
  2016-10-27 23:59:20,10.05,17.72
  2016-10-28 23:59:19,12.51,16.42
  2016-10-29 23:59:18,10.18,13.05
  2016-10-31 23:59:17,7.57,16.63
  2016-11-01 23:59:15,12.99,27.63
  2016-11-02 23:59:16,16.54,20.34
  2016-11-03 23:59:12,11.97,22.77
  2016-11-04 23:59:12,11.72,19.6
  2016-11-05 23:59:13,12.86,20.22
  2016-11-06 23:59:09,11.47,16.02
  2016-11-07 23:59:08,16.58,22.34
  2016-11-08 23:59:08,13.08,25.24
  2016-11-09 23:59:08,8.36,19.77
  2016-11-11 23:59:08,23.8,37.52
  2016-11-12 23:59:06,18.76,25.47
  2016-11-13 23:59:05,18.9,29.57
  2016-11-14 23:59:04,14.33,28.01
  2016-11-15 23:59:05,11.32,19.49
  2016-11-16 23:59:05,6.13,19.78
  2016-11-17 23:59:03,5.91,15.68
  2016-11-18 23:59:03,10.7,17.19
  2016-11-19 23:59:02,7.97,14.92
  2016-11-21 23:58:59,11.12,19.23
  2016-11-22 23:59:00,10.32,22.47
  2016-11-23 23:59:00,13.06,24.96
  2016-11-24 23:59:00,12.31,30.4
  2016-11-25 23:58:58,15.38,27
  2016-11-26 23:58:56,12.78,27.32
  2016-11-27 23:58:58,14.75,20.78
  2016-11-28 23:58:56,11.11,26.1
  2016-11-29 23:58:56,11.96,21.56
  2016-12-01 23:58:54,10.33,19.04
  2016-12-02 23:58:51,8.36,19.77
  2016-12-03 23:58:53,11.55,22.47
  2016-12-04 23:58:51,11.14,18.34
  2016-12-05 23:58:49,10.14,27
  2016-12-06 23:58:49,8.49,19.44
  2016-12-07 23:58:49,9.23,20.99
  2016-12-08 23:58:49,12.39,13.73
  2016-12-09 23:58:50,12.9,17.74
  2016-12-11 23:58:46,10.59,18.65
  2016-12-12 23:58:43,15.31,21.33
  2016-12-13 23:58:44,11.81,19.56
  2016-12-14 23:58:44,15.95,27.55
  2016-12-15 23:58:44,15.89,19.3
  2016-12-16 23:58:42,12.66,22.93
  2016-12-17 23:58:40,12.53,20.2
  2016-12-18 23:58:41,11.51,17.4
  2016-12-19 23:58:39,13.81,29.99
  2016-12-21 23:58:38,10.39,18.79
  2016-12-22 23:58:37,13.63,16.04
  2016-12-23 23:58:38,9.28,25.35
  2016-12-24 23:58:35,12.55,24.89
  2016-12-25 23:58:34,16.2,22.66
  2016-12-26 23:58:35,16.34,16.44
  2016-12-27 23:58:30,12.74,18.82
  2016-12-28 23:58:31,12.26,19.2
  2016-12-29 23:58:32,16.26,14.5
  2016-12-31 23:58:32,9.5,18.49
  2017-01-01 23:58:28,10.33,19.04
  2017-01-02 23:58:26,11.52,15.8
  2017-01-03 23:58:26,11.29,14.72
  2017-01-04 23:58:26,15.92,15.61
  2017-01-05 23:58:27,10.54,13.03
  2017-01-07 23:58:22,10.42,16.14
  2017-01-08 23:58:23,11.76,17.73
  2017-01-09 23:58:22,11.92,21.84
